Election,Scottish STV - Losing Voter Bloc Anomaly,Scottish STV - Removed Loser Ballots,Scottish STV - Losing Voter Bloc Original Winning Parties,Scottish STV - Losing Voter Bloc New Winning Parties,Scottish STV - Winning Voter Bloc Anomaly,Scottish STV - Removed Winner Ballots,Scottish STV - Winning Voter Bloc Original Winning Parties,Scottish STV - Winning Voter Bloc New Winning Parties,Scottish STV - Alt Winning Voter Bloc Anomaly,Scottish STV - Removed Alt Winner Ballots,Scottish STV - Alt Winning Voter Bloc Original Winning Parties,Scottish STV - Alt Winning Voter Bloc New Winning Parties,Meek STV - Losing Voter Bloc Anomaly,Meek STV - Removed Loser Ballots,Meek STV - Losing Voter Bloc Original Winning Parties,Meek STV - Losing Voter Bloc New Winning Parties,Meek STV - Winning Voter Bloc Anomaly,Meek STV - Removed Winner Ballots,Meek STV - Winning Voter Bloc Original Winning Parties,Meek STV - Winning Voter Bloc New Winning Parties,Meek STV - Alt Winning Voter Bloc Anomaly,Meek STV - Removed Alt Winner Ballots,Meek STV - Alt Winning Voter Bloc Original Winning Parties,Meek STV - Alt Winning Voter Bloc New Winning Parties,Chamberlin-Courant (OM) - Losing Voter Bloc Anomaly,Chamberlin-Courant (OM) - Removed Loser Ballots,Chamberlin-Courant (OM) - Losing Voter Bloc Original Winning Parties,Chamberlin-Courant (OM) - Losing Voter Bloc New Winning Parties,Chamberlin-Courant (OM) - Winning Voter Bloc Anomaly,Chamberlin-Courant (OM) - Removed Winner Ballots,Chamberlin-Courant (OM) - Winning Voter Bloc Original Winning Parties,Chamberlin-Courant (OM) - Winning Voter Bloc New Winning Parties,Chamberlin-Courant (OM) - Alt Winning Voter Bloc Anomaly,Chamberlin-Courant (OM) - Removed Alt Winner Ballots,Chamberlin-Courant (OM) - Alt Winning Voter Bloc Original Winning Parties,Chamberlin-Courant (OM) - Alt Winning Voter Bloc New Winning Parties,Chamberlin-Courant (PM) - Losing Voter Bloc Anomaly,Chamberlin-Courant (PM) - Removed Loser Ballots,Chamberlin-Courant (PM) - Losing Voter Bloc Original Winning Parties,Chamberlin-Courant (PM) - Losing Voter Bloc New Winning Parties,Chamberlin-Courant (PM) - Winning Voter Bloc Anomaly,Chamberlin-Courant (PM) - Removed Winner Ballots,Chamberlin-Courant (PM) - Winning Voter Bloc Original Winning Parties,Chamberlin-Courant (PM) - Winning Voter Bloc New Winning Parties,Chamberlin-Courant (PM) - Alt Winning Voter Bloc Anomaly,Chamberlin-Courant (PM) - Removed Alt Winner Ballots,Chamberlin-Courant (PM) - Alt Winning Voter Bloc Original Winning Parties,Chamberlin-Courant (PM) - Alt Winning Voter Bloc New Winning Parties,Expanding Approvals - Losing Voter Bloc Anomaly,Expanding Approvals - Removed Loser Ballots,Expanding Approvals - Losing Voter Bloc Original Winning Parties,Expanding Approvals - Losing Voter Bloc New Winning Parties,Expanding Approvals - Winning Voter Bloc Anomaly,Expanding Approvals - Removed Winner Ballots,Expanding Approvals - Winning Voter Bloc Original Winning Parties,Expanding Approvals - Winning Voter Bloc New Winning Parties,Expanding Approvals - Alt Winning Voter Bloc Anomaly,Expanding Approvals - Removed Alt Winner Ballots,Expanding Approvals - Alt Winning Voter Bloc Original Winning Parties,Expanding Approvals - Alt Winning Voter Bloc New Winning Parties
argyll_bute_2017_ward7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dumgal_2017_ward9.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dundee_2017_ward2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dundee_2017_ward4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east_renfrewshire_2022_ward4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edinburgh_2015_by_election_leith_walk.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edinburgh_2017_ward1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edinburgh_2017_ward12.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[7, 5, 1, 8]","{(10,): 35, (10, 3): 1, (10, 4): 9, (10, 4, 3): 1, (10, 4, 6): 1, (10, 4, 6, 9): 2, (10, 4, 9, 6): 1, (10, 6, 9): 2, (10, 6, 9, 4): 1, (10, 9): 4, (10, 9, 4): 1, (10, 9, 6): 6, (10, 9, 6, 4): 1, (3,): 9, (3, 4): 1, (3, 4, 6): 1, (3, 6, 9): 1, (3, 9, 6): 1, (4,): 479, (4, 10): 90, (4, 10, 6): 10, (4, 10, 6, 9): 9, (4, 10, 9): 14, (4, 10, 9, 6): 5, (4, 3): 3, (4, 6): 16, (4, 6, 10): 7, (4, 6, 10, 9): 4, (4, 6, 3): 1, (4, 6, 9): 68, (4, 6, 9, 10): 10, (4, 9): 31, (4, 9, 10): 14, (4, 9, 10, 6): 3, (4, 9, 6): 28, (4, 9, 6, 10): 9, (6,): 4, (6, 10, 4): 1, (6, 3): 1, (6, 4): 1, (6, 4, 9): 1, (6, 4, 9, 10): 1, (6, 9): 3, (6, 9, 3): 2, (6, 9, 4): 1, (9,): 26, (9, 10): 5, (9, 10, 3): 1, (9, 10, 4): 1, (9, 10, 6): 1, (9, 4): 10, (9, 4, 10): 5, (9, 4, 6): 5, (9, 6): 9, (9, 6, 10): 3, (9, 6, 3): 1, (9, 6, 4): 4, (9, 6, 4, 10): 1}","['Grn', 'Lab', 'Lab', 'SNP']","['Grn', 'Lab', 'SNP', 'SNP']","[5, 1, 8, 7]","{(7,): 123}","['Grn', 'Lab', 'Lab', 'SNP']","['Grn', 'Lab', 'SNP', 'SNP']","[5, 1, 8, 7]","{(7,): 123}","['Grn', 'Lab', 'Lab', 'SNP']","['Grn', 'Lab', 'SNP', 'SNP']"
edinburgh_2022_ward16.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 5, 3, 7]","{(5,): 114}","['Con', 'Grn', 'Lab', 'SNP']","['Con', 'Lab', 'Lab', 'SNP']","[1, 5, 3, 7]","{(5,): 114}","['Con', 'Grn', 'Lab', 'SNP']","['Con', 'Lab', 'Lab', 'SNP']"
edinburgh_2022_ward5.csv,"[8, 9, 6, 10]","{(2, 4, 7): 2, (4, 3): 2, (3, 5, 4): 1, (3, 4): 3, (2, 7): 1, (3, 2): 1, (4, 5, 3): 2, (7, 3, 4): 1, (4, 5): 1, (2,): 34, (4, 3, 5): 1, (5,): 9, (7, 2, 3): 1, (7,): 299, (4,): 9, (2, 3): 2, (5, 3): 1, (7, 3): 6, (3, 5, 7): 1, (4, 2, 7): 1, (3,): 16, (7, 2): 13, (7, 5): 1, (3, 4, 5): 2, (2, 3, 4, 7): 1, (3, 7): 3}","['Con', 'Grn', 'LD', 'SNP']","['Con', 'LD', 'LD', 'SNP']","[9, 6, 8, 10]","{(8,): 405}","['Con', 'Grn', 'LD', 'SNP']","['Con', 'LD', 'LD', 'SNP']","[9, 6, 8, 10]","{(8,): 405}","['Con', 'Grn', 'LD', 'SNP']","['Con', 'LD', 'LD', 'SNP']","[8, 9, 6, 7]","{(4, 3): 2, (3, 5, 4): 1, (3, 4): 3, (1,): 118, (3, 2): 1, (4, 1, 3, 2): 1, (4, 5, 3): 2, (4, 5): 1, (1, 5): 1, (2,): 34, (4, 3, 5): 1, (5,): 9, (1, 2): 3, (1, 4): 1, (4,): 9, (2, 3): 2, (5, 3): 1, (1, 3, 5): 2, (4, 3, 1): 1, (2, 3, 1): 1, (1, 2, 3): 2, (3, 4, 1): 1, (3,): 16, (3, 1): 1, (3, 4, 5): 2, (2, 1): 1, (2, 4, 1): 1, (1, 3): 5}","['Con', 'LD', 'LD', 'SNP']","['Con', 'LD', 'Lab', 'SNP']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[9, 8, 6, 7]","{(4, 3): 2, (3, 5, 4): 1, (3, 4): 3, (1,): 118, (3, 2): 1, (4, 1, 3, 2): 1, (4, 5, 3): 2, (4, 5): 1, (1, 5): 1, (2,): 34, (4, 3, 5): 1, (5,): 9, (1, 2): 3, (1, 4): 1, (4,): 9, (2, 3): 2, (5, 3): 1, (1, 3, 5): 2, (4, 3, 1): 1, (2, 3, 1): 1, (1, 2, 3): 2, (3, 4, 1): 1, (3,): 16, (3, 1): 1, (3, 4, 5): 2, (2, 1): 1, (2, 4, 1): 1, (1, 3): 5}","['Con', 'LD', 'LD', 'SNP']","['Con', 'LD', 'Lab', 'SNP']",,,,,,,,
