Election,Scottish STV Winners,Adaptive Quota STV Winners,Meek STV Winners,Chamberlin-Courant Winners,Greedy Chamberlin-Courant Winners,Expanding Approvals Winners,CPO-STV Winners
angus_2012_ward6.csv,"[3, 4, 2, 7]","[3, 4, 2, 7]","[3, 4, 2, 7]","[2, 3, 4, 5]","[3, 2, 4, 5]","[3, 4, 2, 7]","[2, 3, 4, 7]"
angus_2017_ward3.csv,"[3, 2, 6, 4]","[3, 2, 4, 6]","[3, 2, 4, 6]","[2, 3, 4, 6]","[2, 4, 3, 6]","[3, 2, 4, 6]","[2, 3, 4, 6]"
angus_2017_ward7.csv,"[6, 5, 1]","[6, 5, 1]","[6, 5, 1]","[1, 5, 6]","[5, 1, 6]","[1, 5, 6]","[1, 5, 6]"
angus_2022_ward3.csv,"[2, 4, 3, 7]","[2, 4, 3, 7]","[2, 4, 3, 7]","[1, 2, 4, 7]","[7, 2, 4, 1]","[2, 4, 7, 3]","[2, 3, 4, 7]"
angus_2022_ward4.csv,"[2, 4, 8, 1]","[2, 4, 8, 1]","[2, 4, 8, 1]","[1, 2, 3, 4]","[4, 2, 1, 3]","[2, 4, 8, 3]","[1, 2, 4, 8]"
argyll_bute_2017_ward11.csv,"[4, 6, 8]","[4, 6, 8]","[4, 6, 8]","[4, 6, 8]","[4, 8, 6]","[4, 6, 1]","[4, 6, 8]"
argyll_bute_2017_ward4.csv,"[6, 2, 3, 7]","[6, 2, 3, 7]","[6, 2, 3, 7]","[2, 3, 6, 7]","[6, 3, 2, 7]","[6, 3, 2, 7]","[2, 3, 6, 7]"
argyll_bute_2022_ward5.csv,"[7, 8, 5, 6]","[7, 8, 5, 6]","[7, 5, 6, 8]","[1, 5, 7, 8]","[7, 5, 8, 1]","[7, 5, 6, 8]","[5, 6, 7, 8]"
clackmannanshire_2012_ward2.csv,"[2, 7, 5, 6]","[2, 7, 5, 6]","[2, 7, 5, 6]","[2, 5, 6, 7]","[2, 7, 5, 6]","[2, 7, 1, 5]","[2, 5, 6, 7]"
clackmannanshire_2017_ward1.csv,"[3, 4, 6, 8]","[3, 4, 6, 8]","[3, 4, 6, 8]","[3, 4, 6, 8]","[4, 8, 3, 6]","[3, 8, 4, 6]","[3, 4, 6, 8]"
clackmannanshire_2017_ward2.csv,"[2, 1, 4, 3]","[2, 3, 1, 4]","[2, 3, 1, 4]","[1, 2, 3, 4]","[4, 3, 2, 1]","[2, 4, 3, 1]","[1, 2, 3, 4]"
clackmannanshire_2022_ward2.csv,"[2, 3, 7, 6]","[2, 3, 7, 6]","[2, 3, 7, 6]","[2, 3, 6, 8]","[2, 6, 3, 8]","[2, 3, 7, 6]","[2, 3, 6, 7]"
dumgal_2012_ward10.csv,"[3, 6, 8, 2]","[3, 6, 8, 2]","[3, 6, 8, 2]","[1, 2, 3, 8]","[3, 2, 8, 1]","[3, 6, 2, 8]","[2, 3, 6, 8]"
dumgal_2012_ward4.csv,"[8, 5, 3]","[8, 5, 3]","[8, 5, 3]","[3, 5, 8]","[8, 5, 3]","[8, 5, 3]","[3, 5, 8]"
dumgal_2017_ward1.csv,"[3, 6, 8, 7]","[3, 6, 8, 7]","[3, 6, 8, 7]","[3, 6, 7, 8]","[6, 3, 8, 7]","[6, 3, 8, 7]","[3, 6, 7, 8]"
dumgal_2022_ward4.csv,"[2, 8, 5]","[2, 8, 5]","[2, 8, 5]","[2, 5, 8]","[2, 8, 5]","[2, 8, 5]","[2, 5, 8]"
dundee_2012_ward6.csv,"[2, 6, 8]","[2, 6, 8]","[2, 6, 8]","[2, 6, 8]","[6, 2, 8]","[6, 2, 8]","[2, 6, 8]"
dundee_2017_ward6.csv,"[2, 5, 7]","[2, 5, 7]","[2, 5, 7]","[2, 3, 5]","[5, 2, 3]","[5, 2, 7]","[2, 5, 7]"
dundee_2022_ward5.csv,"[1, 5, 7]","[5, 1, 7]","[5, 1, 7]","[1, 6, 7]","[5, 1, 7]","[7, 1, 5]","[1, 5, 7]"
east_ayrshire_2012_ward8.csv,"[6, 8, 5, 3]","[6, 8, 5, 3]","[6, 8, 5, 3]","[1, 5, 6, 8]","[8, 6, 5, 1]","[8, 6, 5, 3]","[3, 5, 6, 8]"
east_ayrshire_2017_ward1.csv,"[5, 3, 2, 6]","[5, 2, 3, 6]","[5, 2, 3, 6]","[2, 3, 5, 6]","[5, 3, 6, 2]","[5, 3, 2, 6]","[2, 3, 5, 6]"
east_ayrshire_2017_ward6.csv,"[7, 2, 5]","[7, 2, 5]","[7, 2, 5]","[2, 6, 7]","[7, 2, 6]","[7, 2, 5]","[2, 5, 7]"
