Election,Scottish STV - Losing Voter Bloc Anomaly,Scottish STV - Removed Loser Ballots,Scottish STV - Winning Voter Bloc Anomaly,Scottish STV - Removed Winner Ballots,AQ STV - Losing Voter Bloc Anomaly,AQ STV - Removed Loser Ballots,AQ STV - Winning Voter Bloc Anomaly,AQ STV - Removed Winner Ballots,Meek STV - Losing Voter Bloc Anomaly,Meek STV - Removed Loser Ballots,Meek STV - Winning Voter Bloc Anomaly,Meek STV - Removed Winner Ballots,Chamberlin-Courant (OM) - Losing Voter Bloc Anomaly,Chamberlin-Courant (OM) - Removed Loser Ballots,Chamberlin-Courant (OM) - Winning Voter Bloc Anomaly,Chamberlin-Courant (OM) - Removed Winner Ballots,Greedy Chamberlin-Courant (OM) - Losing Voter Bloc Anomaly,Greedy Chamberlin-Courant (OM) - Removed Loser Ballots,Greedy Chamberlin-Courant (OM) - Winning Voter Bloc Anomaly,Greedy Chamberlin-Courant (OM) - Removed Winner Ballots,Chamberlin-Courant (PM) - Losing Voter Bloc Anomaly,Chamberlin-Courant (PM) - Removed Loser Ballots,Chamberlin-Courant (PM) - Winning Voter Bloc Anomaly,Chamberlin-Courant (PM) - Removed Winner Ballots,Greedy Chamberlin-Courant (PM) - Losing Voter Bloc Anomaly,Greedy Chamberlin-Courant (PM) - Removed Loser Ballots,Greedy Chamberlin-Courant (PM) - Winning Voter Bloc Anomaly,Greedy Chamberlin-Courant (PM) - Removed Winner Ballots,Expanding Approvals - Losing Voter Bloc Anomaly,Expanding Approvals - Removed Loser Ballots,Expanding Approvals - Winning Voter Bloc Anomaly,Expanding Approvals - Removed Winner Ballots
argyll_bute_2017_ward7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dumgal_2017_ward9.csv,,,"[5, 7, 1, 9]","{(7,): 24}","[5, 7, 1, 6]","{(10,): 1, (10, 2, 8): 0, (10, 3): 0, (10, 8, 2): 0, (2,): 2, (2, 10): 0, (2, 10, 3): 0, (2, 3): 0, (2, 3, 4): 1, (2, 4): 0, (2, 8): 0, (3,): 3, (3, 10, 2): 0, (3, 2): 0, (3, 2, 10): 0, (3, 2, 4): 0, (3, 4): 0, (4,): 2, (4, 10, 8): 0, (4, 2): 0, (4, 2, 3): 0, (4, 3): 0, (4, 3, 2): 0, (4, 8): 0, (4, 8, 10): 0, (4, 8, 2): 0, (8,): 1, (8, 10): 0, (8, 2, 3, 4): 0, (8, 4): 0, (8, 4, 3): 0}","[5, 7, 1, 6]","{(1,): 8, (1, 5): 0, (5,): 84, (5, 1): 0}",,,,,,,,,,,,,,,,,,,,,,,,
dundee_2017_ward2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dundee_2017_ward4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east_renfrewshire_2022_ward4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edinburgh_2015_by_election_leith_walk.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edinburgh_2017_ward1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edinburgh_2017_ward12.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[7, 5, 1, 8]","{(10,): 7, (10, 3): 0, (10, 4): 1, (10, 4, 3): 0, (10, 4, 6): 0, (10, 4, 6, 9): 0, (10, 4, 9, 6): 0, (10, 6, 9): 0, (10, 6, 9, 4): 0, (10, 9): 0, (10, 9, 4): 0, (10, 9, 6): 1, (10, 9, 6, 4): 0, (3,): 1, (3, 4): 0, (3, 4, 6): 0, (3, 6, 9): 0, (3, 9, 6): 0, (4,): 95, (4, 10): 18, (4, 10, 6): 2, (4, 10, 6, 9): 1, (4, 10, 9): 2, (4, 10, 9, 6): 1, (4, 3): 0, (4, 6): 3, (4, 6, 10): 1, (4, 6, 10, 9): 0, (4, 6, 3): 0, (4, 6, 9): 13, (4, 6, 9, 10): 2, (4, 9): 6, (4, 9, 10): 2, (4, 9, 10, 6): 0, (4, 9, 6): 5, (4, 9, 6, 10): 1, (6,): 0, (6, 10, 4): 0, (6, 3): 0, (6, 4): 0, (6, 4, 9): 0, (6, 4, 9, 10): 0, (6, 9): 0, (6, 9, 3): 0, (6, 9, 4): 0, (9,): 5, (9, 10): 1, (9, 10, 3): 0, (9, 10, 4): 0, (9, 10, 6): 0, (9, 4): 2, (9, 4, 10): 1, (9, 4, 6): 1, (9, 6): 1, (9, 6, 10): 0, (9, 6, 3): 0, (9, 6, 4): 0, (9, 6, 4, 10): 0}","[5, 1, 7, 8]","{(1,): 10}"
edinburgh_2022_ward16.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 5, 7, 6]","{(3, 1, 5): 3, (1, 5, 3): 3, (1,): 167, (1, 5): 23, (3, 5, 1): 2, (5,): 57, (5, 3): 2, (1, 3, 5): 5, (3, 5): 3, (5, 1, 3): 2, (5, 1): 10, (3,): 368, (3, 1): 77, (5, 3, 1): 0, (1, 3): 29}"
edinburgh_2022_ward5.csv,"[9, 8, 6, 10]","{(2, 4, 7): 0, (4, 3): 0, (3, 5, 4): 0, (3, 4): 0, (2, 7): 0, (3, 2): 0, (4, 5, 3): 0, (7, 3, 4): 0, (4, 5): 0, (2,): 1, (4, 3, 5): 0, (5,): 0, (7, 2, 3): 0, (7,): 14, (4,): 0, (2, 3): 0, (5, 3): 0, (7, 3): 0, (3, 5, 7): 0, (4, 2, 7): 0, (3,): 0, (7, 2): 0, (7, 5): 0, (3, 4, 5): 0, (2, 3, 4, 7): 0, (3, 7): 0}","[9, 6, 8, 10]","{(8,): 135}","[9, 8, 6, 7]","{(4, 3): 0, (3, 5, 4): 0, (3, 4): 0, (1,): 17, (3, 2): 0, (4, 1, 3, 2): 0, (4, 5, 3): 0, (4, 5): 0, (1, 5): 0, (2,): 5, (4, 3, 5): 0, (5,): 1, (1, 2): 0, (1, 4): 0, (4,): 1, (2, 3): 0, (5, 3): 0, (1, 3, 5): 0, (4, 3, 1): 0, (2, 3, 1): 0, (1, 2, 3): 0, (3, 4, 1): 0, (3,): 2, (3, 1): 0, (3, 4, 5): 0, (2, 1): 0, (2, 4, 1): 0, (1, 3): 0}","[9, 6, 8, 1]","{(8, 6, 9): 0, (6, 9): 8, (8, 9, 6): 0, (8,): 67, (8, 6): 1, (6, 9, 8): 0, (9, 6): 6, (9,): 14, (9, 6, 8): 0, (6,): 10, (8, 9): 9, (9, 8): 2}","[9, 8, 6, 7]","{(4, 3): 0, (3, 5, 4): 0, (3, 4): 0, (1,): 29, (3, 2): 0, (4, 1, 3, 2): 0, (4, 5, 3): 0, (4, 5): 0, (1, 5): 0, (2,): 8, (4, 3, 5): 0, (5,): 2, (1, 2): 0, (1, 4): 0, (4,): 2, (2, 3): 0, (5, 3): 0, (1, 3, 5): 0, (4, 3, 1): 0, (2, 3, 1): 0, (1, 2, 3): 0, (3, 4, 1): 0, (3,): 4, (3, 1): 0, (3, 4, 5): 0, (2, 1): 0, (2, 4, 1): 0, (1, 3): 1}","[8, 9, 6, 1]","{(6, 9): 50, (9, 6): 38, (9,): 87, (6,): 62}",,,,,,,,,,,,,,,,,"[9, 8, 6, 7]","{(4, 3): 2, (3, 5, 4): 1, (3, 4): 3, (1,): 118, (3, 2): 1, (4, 1, 3, 2): 1, (4, 5, 3): 2, (4, 5): 1, (1, 5): 1, (2,): 34, (4, 3, 5): 1, (5,): 9, (1, 2): 3, (1, 4): 1, (4,): 9, (2, 3): 2, (5, 3): 1, (1, 3, 5): 2, (4, 3, 1): 1, (2, 3, 1): 1, (1, 2, 3): 2, (3, 4, 1): 1, (3,): 16, (3, 1): 1, (3, 4, 5): 2, (2, 1): 1, (2, 4, 1): 1, (1, 3): 5}","[9, 8, 6, 7]","{(6, 9): 16, (9, 6): 12, (9,): 29, (6,): 20}"
eilean_siar_2012_ward7.csv,,,"[6, 5, 8, 1]","{(5,): 10, (5, 6): 2, (6,): 10, (6, 5): 4}",,,"[6, 5, 8, 3]","{(8,): 10}",,,"[6, 5, 8, 1]","{(5,): 15, (5, 6): 3, (6,): 15, (6, 5): 6}",,,,,,,"[5, 1, 6, 3]","{(1,): 3, (1, 6): 0, (6,): 5, (6, 1): 1}",,,,,,,"[6, 8, 5, 3]","{(5,): 15}",,,"[6, 5, 8, 4]","{(5,): 15, (5, 6): 3, (6,): 15, (6, 5): 6}"
eilean_siar_2022_ward9.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falkirk_2017_ward3.csv,,,,,,,,,,,"[4, 3, 1, 6]","{(3,): 1, (3, 4): 44, (4,): 9, (4, 3): 79}",,,,,,,,,,,,,,,,,,,,
fife_2012_ward14.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fife_2017_ward15.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fife_2017_ward18.csv,,,,,,,,,,,"[3, 10, 7, 8]","{(3,): 39, (3, 7): 20, (7,): 248, (7, 3): 46}",,,,,,,,,,,,,,,,,,,,
fife_2017_ward22.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fife_2017_ward9.csv,,,,,,,,,,,,,,,,,,,"[5, 1, 4]","{(1,): 6, (4,): 68, (4, 1): 0}",,,,,,,,,,,,
fife_2022_ward1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2, 8, 10]","{(3, 1, 5): 0, (5, 1, 4, 7): 0, (4, 3): 0, (5, 3, 7): 0, (9, 5, 4): 0, (9, 5, 1): 0, (3, 9): 0, (1, 5, 3): 0, (3, 4): 0, (1,): 14, (3, 7, 4, 1, 5): 0, (4, 7, 3): 0, (7, 3, 4): 0, (5, 4): 0, (9, 1): 0, (9, 7, 5): 0, (1, 5): 3, (7, 1, 4, 5): 0, (5, 1, 7): 0, (5,): 6, (3, 5, 9): 0, (4, 3, 5, 7): 0, (4, 7): 0, (9, 1, 5, 7): 0, (9, 1, 5): 0, (3, 9, 5): 0, (5, 7, 4): 0, (7,): 4, (3, 4, 7): 0, (1, 4): 0, (5, 9): 0, (4,): 1, (7, 9): 0, (1, 7): 0, (3, 7, 1): 0, (5, 7, 1): 0, (1, 5, 4): 0, (9, 1, 3): 0, (5, 3): 0, (9,): 4, (7, 3): 0, (1, 3, 5): 0, (1, 7, 5): 0, (3, 5): 0, (3, 7, 4, 5): 0, (7, 4): 0, (9, 5, 1, 4): 0, (7, 1, 4): 0, (3, 5, 7): 0, (5, 1): 2, (5, 9, 4): 0, (3, 1, 7): 0, (3,): 3, (9, 3, 7): 0, (9, 7, 3): 0, (5, 1, 9): 0, (1, 4, 5): 0, (9, 3): 0, (1, 4, 7): 0, (5, 7): 0, (3, 7, 4): 0, (7, 4, 5): 0, (1, 9): 0, (7, 1, 9): 0, (9, 5): 0, (5, 3, 1): 0, (1, 3): 0}",,
fife_2022_ward4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2007_calton.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2007_craigton.csv,,,"[10, 4, 5, 6]","{(4,): 707}",,,"[4, 10, 5, 6]","{(4,): 283}",,,"[4, 5, 10, 1]","{(10,): 221, (5,): 152, (10, 5): 27, (5, 10): 17}",,,,,,,,,,,,,,,,,"[4, 6, 10, 5]","{(9,): 16, (2,): 8, (7,): 7, (8,): 6, (9, 3): 5, (3, 9): 5, (3,): 4, (2, 7): 2, (9, 2): 2, (7, 2): 2, (9, 3, 2): 1, (9, 7): 1, (9, 3, 7): 1, (2, 9): 0, (3, 9, 7): 0, (3, 9, 2): 0, (2, 7, 9): 0, (8, 7): 0, (9, 3, 2, 7): 0, (9, 2, 7): 0, (9, 7, 3): 0, (3, 7): 0, (2, 7, 8): 0, (9, 7, 2, 3): 0, (7, 8, 2): 0, (2, 9, 7): 0, (3, 8): 0, (7, 8): 0, (3, 9, 7, 2): 0, (9, 3, 7, 2): 0, (3, 9, 2, 7): 0, (2, 3, 9): 0, (2, 3, 7): 0, (9, 2, 3): 0, (9, 7, 2): 0, (3, 7, 8): 0, (3, 7, 9): 0, (7, 3): 0, (2, 3, 9, 7): 0, (3, 7, 2, 8): 0, (2, 9, 3, 7): 0, (7, 3, 9): 0, (7, 2, 9): 0, (2, 7, 3): 0, (3, 2, 7): 0, (7, 2, 8): 0, (2, 3): 0, (2, 8): 0, (9, 8): 0, (8, 3): 0, (9, 2, 3, 7): 0, (7, 2, 9, 3): 0, (9, 3, 8, 7): 0, (9, 3, 2, 8): 0, (9, 2, 7, 3): 0, (2, 9, 7, 3): 0, (9, 2, 8, 3): 0, (3, 7, 9, 2): 0, (2, 7, 8, 9): 0, (9, 8, 3, 7): 0, (8, 3, 7): 0, (8, 2, 7): 0, (8, 2, 9): 0, (3, 8, 9): 0, (3, 9, 8): 0, (8, 3, 2): 0, (9, 3, 8): 0, (2, 9, 8): 0, (7, 9, 2): 0, (3, 2): 0, (8, 9): 0, (7, 9): 0}","[4, 6, 10, 5]","{(4,): 141}"
glasgow_2007_drumchapel.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2007_garscadden.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2007_hillhead.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2007_north_east.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2007_springburn.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2012_ward17.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2012_ward19.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2012_ward20.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2012_ward4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2012_ward8.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,"[9, 6, 3, 5]","{(5,): 87, (5, 9): 9, (9,): 227, (9, 5): 3}",,,,
glasgow_2017_ward13.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2017_ward14.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2017_ward17.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2017_ward3.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glasgow_2017_ward4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2, 4, 9, 3]","{(3,): 263, (3, 4): 1, (4,): 42, (4, 3): 2}",,,"[2, 4, 10, 9]","{(4,): 21, (4, 9): 4, (9,): 72, (9, 4): 1}"
