Election,Scottish STV - Losing Voter Bloc Anomaly,Scottish STV - Removed Loser Ballots,Scottish STV - Winning Voter Bloc Anomaly,Scottish STV - Removed Winner Ballots,AQ STV - Losing Voter Bloc Anomaly,AQ STV - Removed Loser Ballots,AQ STV - Winning Voter Bloc Anomaly,AQ STV - Removed Winner Ballots,Meek STV - Losing Voter Bloc Anomaly,Meek STV - Removed Loser Ballots,Meek STV - Winning Voter Bloc Anomaly,Meek STV - Removed Winner Ballots,Chamberlin-Courant (OM) - Losing Voter Bloc Anomaly,Chamberlin-Courant (OM) - Removed Loser Ballots,Chamberlin-Courant (OM) - Winning Voter Bloc Anomaly,Chamberlin-Courant (OM) - Removed Winner Ballots,Greedy Chamberlin-Courant (OM) - Losing Voter Bloc Anomaly,Greedy Chamberlin-Courant (OM) - Removed Loser Ballots,Greedy Chamberlin-Courant (OM) - Winning Voter Bloc Anomaly,Greedy Chamberlin-Courant (OM) - Removed Winner Ballots,Chamberlin-Courant (PM) - Losing Voter Bloc Anomaly,Chamberlin-Courant (PM) - Removed Loser Ballots,Chamberlin-Courant (PM) - Winning Voter Bloc Anomaly,Chamberlin-Courant (PM) - Removed Winner Ballots,Greedy Chamberlin-Courant (PM) - Losing Voter Bloc Anomaly,Greedy Chamberlin-Courant (PM) - Removed Loser Ballots,Greedy Chamberlin-Courant (PM) - Winning Voter Bloc Anomaly,Greedy Chamberlin-Courant (PM) - Removed Winner Ballots,Expanding Approvals - Losing Voter Bloc Anomaly,Expanding Approvals - Removed Loser Ballots,Expanding Approvals - Winning Voter Bloc Anomaly,Expanding Approvals - Removed Winner Ballots
aberdeenshire_2012_ward18.csv,"[1, 4, 2, 8]","{(10,): 45, (10, 5, 6): 1, (10, 6): 3, (10, 6, 5): 1, (10, 7): 2, (10, 7, 6): 1, (10, 7, 6, 5): 1, (10, 9): 5, (10, 9, 6): 1, (5,): 11, (5, 6): 3, (5, 6, 10): 1, (5, 7): 1, (5, 9): 2, (6,): 17, (6, 10): 1, (6, 10, 9): 1, (6, 5): 1, (6, 7): 3, (6, 7, 9): 1, (6, 9, 10): 1, (7,): 14, (7, 10): 2, (7, 10, 6): 1, (7, 10, 6, 5): 1, (7, 5, 6): 1, (7, 6): 1, (7, 6, 10, 5): 1, (7, 6, 5): 1, (7, 9): 3, (9,): 23, (9, 10): 4, (9, 5): 2, (9, 6): 1, (9, 6, 7): 1, (9, 7): 5, (9, 7, 6): 1}",,,"[1, 4, 2, 8]","{(10,): 45, (10, 5, 6): 1, (10, 6): 3, (10, 6, 5): 1, (10, 7): 2, (10, 7, 6): 1, (10, 7, 6, 5): 1, (10, 9): 5, (10, 9, 6): 1, (5,): 11, (5, 6): 3, (5, 6, 10): 1, (5, 7): 1, (5, 9): 2, (6,): 17, (6, 10): 1, (6, 10, 9): 1, (6, 5): 1, (6, 7): 3, (6, 7, 9): 1, (6, 9, 10): 1, (7,): 14, (7, 10): 2, (7, 10, 6): 1, (7, 10, 6, 5): 1, (7, 5, 6): 1, (7, 6): 1, (7, 6, 10, 5): 1, (7, 6, 5): 1, (7, 9): 3, (9,): 23, (9, 10): 4, (9, 5): 2, (9, 6): 1, (9, 6, 7): 1, (9, 7): 5, (9, 7, 6): 1}",,,"[1, 4, 2, 8]","{(10,): 45, (10, 3): 6, (10, 3, 9): 1, (10, 5, 3): 1, (10, 5, 6): 1, (10, 6): 3, (10, 6, 3): 2, (10, 6, 5): 1, (10, 9): 5, (10, 9, 3): 1, (10, 9, 6): 1, (3,): 84, (3, 10): 21, (3, 10, 5): 1, (3, 10, 6): 1, (3, 10, 9): 4, (3, 5): 4, (3, 5, 9, 10): 1, (3, 6): 6, (3, 6, 10): 3, (3, 6, 10, 9): 1, (3, 6, 5): 1, (3, 6, 9): 3, (3, 9): 6, (3, 9, 10): 5, (3, 9, 5): 1, (5,): 11, (5, 3): 5, (5, 6): 3, (5, 6, 10): 1, (5, 9): 2, (6,): 17, (6, 10): 1, (6, 10, 9): 1, (6, 3): 3, (6, 3, 10): 2, (6, 3, 9): 1, (6, 5): 1, (6, 9, 10): 1, (9,): 23, (9, 10): 4, (9, 10, 3, 6): 1, (9, 3): 2, (9, 3, 6): 1, (9, 5): 2, (9, 6): 1, (9, 6, 3): 1, (9, 6, 3, 10): 1}",,,,,,,,,,,,,,,,,,,,,,
aberdeenshire_2012_ward3.csv,,,,,,,"[9, 2, 7, 4]","{(9,): 53}",,,,,,,"[1, 7, 9, 10]","{(2,): 35}",,,,,,,"[1, 7, 9, 10]","{(2,): 35}",,,,,"[9, 2, 7, 10]","{(1,): 36, (1, 3): 1, (1, 3, 6): 4, (1, 3, 8): 2, (1, 5): 2, (1, 5, 8): 1, (1, 6): 4, (1, 6, 3): 2, (1, 6, 5): 2, (1, 6, 8): 3, (1, 8): 2, (1, 8, 3): 2, (1, 8, 5): 1, (3,): 12, (3, 1): 1, (3, 5): 1, (3, 8, 1): 2, (5,): 5, (5, 1, 8): 1, (5, 3, 1): 1, (6,): 50, (6, 1): 9, (6, 1, 3): 1, (6, 1, 8): 1, (6, 3): 4, (6, 8): 1, (6, 8, 1): 4, (6, 8, 1, 3): 1, (8,): 51, (8, 1): 10, (8, 1, 3): 1, (8, 1, 5): 1, (8, 6): 1, (8, 6, 1): 4, (8, 6, 5): 1}","[9, 2, 7, 10]","{(2,): 35, (2, 7): 7, (7,): 71, (7, 2): 8}"
aberdeenshire_2017_ward3.csv,,,,,,,,,,,,,,,,,,,"[5, 8, 4, 2]","{(2,): 35, (2, 4): 2, (4,): 346, (4, 2): 3}",,,,,,,"[5, 8, 4, 2]","{(2,): 35, (2, 4): 2, (4,): 346, (4, 2): 3}",,,"[5, 2, 4, 8]","{(4,): 346}"
aberdeenshire_2022_ward4.csv,"[8, 9, 5, 7]","{(10, 4, 2): 2, (2, 10, 1): 1, (4, 6, 1): 1, (4, 6): 4, (4, 10, 6): 1, (1,): 12, (4, 2, 6): 1, (2, 4): 3, (2, 6): 2, (2,): 19, (10, 6): 4, (10,): 68, (1, 2): 2, (4, 2): 1, (2, 4, 6): 1, (1, 4): 2, (6, 10, 4): 1, (4,): 42, (2, 10): 7, (6, 10): 2, (10, 4): 6, (1, 6, 10): 3, (1, 4, 10): 1, (4, 1): 4, (6, 2, 10): 2, (10, 6, 2): 1, (4, 10, 2): 1, (4, 10): 10, (10, 2): 1, (6, 4): 1, (6,): 6, (4, 1, 10): 1, (6, 2, 1): 1, (1, 10, 2): 1, (4, 2, 1): 1, (6, 1, 10): 1, (10, 1, 4): 1, (6, 2): 2, (1, 4, 2): 1, (10, 1): 4, (2, 1): 1, (10, 4, 1): 1}",,,"[8, 9, 5, 3]","{(10, 4, 2): 2, (2, 10, 1): 1, (4, 6, 1): 1, (4, 6): 4, (4, 10, 6): 1, (1,): 12, (4, 2, 6): 1, (2, 4): 3, (2, 6): 2, (2,): 19, (10, 6): 4, (10,): 68, (1, 2): 2, (4, 2): 1, (2, 4, 6): 1, (1, 4): 2, (6, 10, 4): 1, (4,): 42, (2, 10): 7, (6, 10): 2, (10, 4): 6, (1, 6, 10): 3, (1, 4, 10): 1, (4, 1): 4, (6, 2, 10): 2, (10, 6, 2): 1, (4, 10, 2): 1, (4, 10): 10, (10, 2): 1, (6, 4): 1, (6,): 6, (4, 1, 10): 1, (6, 2, 1): 1, (1, 10, 2): 1, (4, 2, 1): 1, (6, 1, 10): 1, (10, 1, 4): 1, (6, 2): 2, (1, 4, 2): 1, (10, 1): 4, (2, 1): 1, (10, 4, 1): 1}","[8, 9, 5, 3]","{(8,): 53}",,,"[5, 8, 9, 3]","{(8,): 53, (9,): 69, (8, 9): 8, (9, 8): 10}",,,,,,,,,,,,,,,,,,,"[8, 5, 9, 7]","{(5,): 42, (5, 9): 6, (9,): 69, (9, 5): 7}"
aberdeen_2017_ward12.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aberdeen_2022_ward12.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aberdeen_2022_ward6.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angus_2022_ward6.csv,,,"[6, 2, 10, 9]","{(8,): 30, (2,): 50, (2, 8): 425, (8, 2): 261}",,,,,,,"[2, 6, 8, 9]","{(2,): 50}",,,,,,,,,,,,,,,,,,,,
argyll_bute_2012_ward5.csv,"[2, 9, 4, 7]","{(1,): 17, (1, 10): 2, (1, 10, 8, 6): 1, (1, 8, 10): 1, (10,): 74, (10, 1): 2, (10, 1, 5, 8): 1, (10, 1, 6, 8): 1, (10, 1, 8): 1, (10, 5): 2, (10, 5, 1): 1, (10, 5, 8): 1, (10, 5, 8, 6, 1): 1, (10, 6): 3, (10, 6, 5): 1, (10, 8): 12, (10, 8, 5): 2, (5,): 17, (5, 10): 1, (5, 10, 1): 1, (5, 10, 8): 2, (5, 6): 1, (5, 6, 1): 1, (5, 6, 8, 10): 1, (5, 8): 2, (5, 8, 1): 1, (6,): 10, (6, 10): 2, (6, 10, 1): 1, (6, 8, 10): 1, (8,): 25, (8, 1): 2, (8, 1, 10): 1, (8, 10): 4, (8, 5): 3, (8, 5, 1): 2, (8, 6): 4}","[9, 2, 4, 7]","{(9,): 73}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
argyll_bute_2017_ward5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
