Election,Scottish STV Winners,Meek STV Winners,Chamberlin-Courant (OM) Winners,Chamberlin-Courant (PM) Winners,Expanding Approvals Winners
dumgal_2022_ward9.csv,"[1, 6, 2, 5]","[1, 6, 2, 5]","[1, 2, 5, 6]","[1, 2, 5, 6]","[1, 2, 6, 5]"
dundee_2012_ward3.csv,"[1, 4, 5, 6]","[1, 4, 5, 6]","[1, 2, 4, 5]","[1, 2, 4, 5]","[4, 1, 5, 6]"
dundee_2012_ward5.csv,"[3, 6, 1]","[3, 6, 1]","[3, 4, 5]","[3, 4, 5]","[3, 1, 6]"
dundee_2012_ward7.csv,"[3, 6, 2]","[3, 6, 2]","[2, 3, 6]","[2, 3, 6]","[3, 2, 6]"
dundee_2017_ward1.csv,"[1, 5, 6, 2]","[1, 5, 6, 2]","[1, 2, 3, 6]","[1, 2, 3, 6]","[1, 6, 5, 2]"
dundee_2017_ward5.csv,"[5, 3, 7]","[5, 7, 3]","[2, 3, 5]","[2, 3, 5]","[5, 3, 7]"
dundee_2022_ward6.csv,"[1, 4, 5]","[1, 4, 5]","[1, 4, 5]","[1, 4, 5]","[4, 1, 5]"
dundee_2022_ward7.csv,"[2, 4, 7]","[2, 4, 7]","[1, 2, 4]","[1, 2, 4]","[2, 4, 7]"
east_ayrshire_2017_ward4.csv,"[1, 4, 2, 3]","[1, 4, 2, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 4, 3, 2]"
east_ayrshire_2017_ward7.csv,"[1, 7, 2, 4]","[1, 7, 2, 4]","[1, 2, 6, 7]","[1, 2, 6, 7]","[1, 7, 2, 4]"
east_ayrshire_2022_ward3.csv,"[1, 3, 4, 7]","[1, 3, 4, 7]","[1, 3, 4, 7]","[1, 3, 4, 7]","[3, 1, 4, 7]"
east_dunbartonshire_2012_ward8.csv,"[4, 7, 1]","[4, 7, 1]","[1, 4, 7]","[1, 4, 7]","[4, 7, 1]"
east_dunbartonshire_2017_ward4.csv,"[2, 4, 5, 3]","[2, 4, 3, 5]","[2, 4, 5, 7]","[2, 4, 5, 7]","[4, 2, 5, 3]"
east_dunbartonshire_2017_ward7.csv,"[1, 5, 3]","[1, 3, 5]","[1, 3, 5]","[1, 3, 5]","[1, 5, 6]"
east_dunbartonshire_2022_ward3.csv,"[3, 6, 7]","[6, 7, 3]","[3, 6, 7]","[3, 6, 7]","[6, 3, 1]"
east_lothian_2012_ward1.csv,"[5, 4, 7]","[5, 4, 7]","[4, 5, 6]","[4, 5, 6]","[5, 4, 6]"
east_lothian_2012_ward3.csv,"[3, 4, 1, 5]","[3, 4, 1, 5]","[1, 2, 3, 4]","[1, 2, 3, 4]","[3, 4, 5, 1]"
east_lothian_2012_ward4.csv,"[4, 5, 1, 7]","[4, 5, 1, 7]","[2, 4, 5, 7]","[2, 4, 5, 7]","[4, 5, 7, 1]"
east_lothian_2017_ward5.csv,"[5, 3, 1, 7]","[5, 3, 1, 7]","[1, 3, 5, 7]","[1, 3, 5, 7]","[5, 3, 7, 1]"
east_lothian_2022_ward6.csv,"[4, 6, 3]","[4, 6, 3]","[3, 4, 6]","[3, 4, 6]","[6, 4, 2]"
east_renfrewshire_2012_ward5.csv,"[7, 2, 4]","[7, 2, 4]","[2, 4, 7]","[2, 4, 7]","[7, 2, 4]"
east_renfrewshire_2022_ward3.csv,"[2, 7, 3]","[2, 7, 3]","[2, 3, 7]","[2, 3, 7]","[2, 7, 3]"
edinburgh_2012_ward1.csv,"[5, 7, 6]","[5, 7, 6]","[2, 5, 7]","[2, 5, 7]","[7, 5, 6]"
